Date,Day,Content Type,Post,Hashtags,CTA
2025-01-01,Wednesday,New Year Launch,"🎯 New Year, New Nervous System. Most people chase hydration. We're chasing autonomic stability. The first formula engineered to calm your sympathetic storms while expanding blood volume. Welcome to neuromodulating hydration.","#POTS #Dysautonomia #ChronicIllness #Hydration #AutonomicNervousSystem","Link in bio for early access"
2025-01-02,Thursday,Myth Buster,"MYTH: More salt = better hydration for POTS. TRUTH: Salt without nervous system cofactors = temporary relief. You need taurine to help kidneys retain that sodium, magnesium to calm HR spikes, and B vitamins to support vagal tone.","#POTSawareness #ChronicIllness #HealthMyths","Join the waitlist"
2025-01-03,Friday,Community Focus,"From one POTS warrior to another: Standing up shouldn't feel like running a marathon. Our formula addresses what others ignore - the autonomic chaos behind your symptoms. You're not 'just dehydrated.'","#POTScommunity #ChronicWarrior #Spoonie","Share your POTS trigger below"
2025-01-04,Saturday,Lifestyle Tip,"Morning routine for autonomic stability: 1) Hydrate BEFORE getting out of bed 2) Add compression 3) Move slowly 4) Our formula 30min before biggest trigger. Small changes, massive impact on your day.","#POTSlife #MorningRoutine #ChronicIllnessTips","What's your morning hack?"
2025-01-05,Sunday,Science Thread,"THREAD: Why magnesium L-threonate changes everything for dysautonomia 🧵 1/ Most magnesium stays in your gut or muscles. L-threonate crosses the blood-brain barrier. 2/ Your autonomic centers live in the brainstem...","#ScienceSunday #Neuroscience #Magnesium","Full thread below 👇"
2025-01-06,Monday,Science Deep Dive,"Your vagus nerve is your built-in chill switch. But in dysautonomia, it's offline. Vitamin B5 (100mg) is the precursor to acetylcholine - literally the chemical language of parasympathetic activation. Feed the nerve, calm the storm.","#VagusNerve #Neuroscience #B5","Learn more about our formula"
2025-01-07,Tuesday,Ingredient Spotlight,"TAURINE: The unsung hero of hydration. ❤️ Stabilizes heart rhythm 🧠 Calms brain excitability 🫘 Helps kidneys hold sodium 🩸 Supports blood vessel flexibility. 300mg per serving. Because hydration is more than just water and salt.","#Taurine #Supplements #HeartHealth","Pre-order for 20% off"
2025-01-08,Wednesday,Symptom Solution,"Brain fog isn't 'all in your head' - it's in your blood flow. When blood pools in your legs (POTS), your brain gets less oxygen. Our sodium + taurine combo improves venous return. Think clearly again.","#BrainFog #POTS #CognitiveHealth","Get your focus back"
2025-01-09,Thursday,Comparison,"LMNT: 1000mg sodium, 200mg potassium, 60mg magnesium. US: 750mg sodium, 360mg potassium, 900mg magnesium (2 forms), plus taurine, B-complex, L-alanine. One replaces sweat. Ours stabilizes your nervous system.","#ElectrolyteComparison #LMNT #Hydration","See the full breakdown"
2025-01-10,Friday,Real Talk,"3 years ago, I couldn't shower without my HR hitting 150. Today, I'm formulating solutions for people like us. This isn't just a business - it's personal. Every ingredient was chosen through the lens of living with dysautonomia.","#ChronicIllnessWarrior #Entrepreneur #POTS","Join our mission"
2025-01-11,Saturday,Weekend Wisdom,"Your weekend reminder: Chronic illness rest is different. It's not lazy, it's strategic. Pair rest with smart hydration that actually supports your autonomic nervous system. You deserve both understanding AND solutions.","#WeekendVibes #ChronicIllness #SelfCare","How do you rest?"
2025-01-12,Sunday,Education Thread,"Why we chose sodium citrate over sodium chloride 🧵 1/ Citrate is alkalinizing - reduces metabolic acidosis 2/ Feeds directly into Krebs cycle for ATP 3/ Kidney-protective 4/ Less likely to trigger MCAS flares than chloride","#ScienceThread #Sodium #Biochemistry","Full thread 👇"
2025-01-13,Monday,Mechanism Monday,"The adrenaline dump: Your body's worst habit. Magnesium acts as nature's calcium channel blocker, literally preventing the cascade that leads to those 3am HR spikes. 900mg split between glycinate (gut-friendly) and L-threonate (brain-penetrating).","#Adrenaline #Magnesium #POTS","Stop the surge"
2025-01-14,Tuesday,Taurine Tuesday,"Did you know? Taurine is the most abundant amino acid in your heart. It modulates calcium signaling in every heartbeat. For POTS patients with erratic HR, this isn't optional - it's essential. Yet missing from 99% of electrolyte drinks.","#Taurine #HeartHealth #POTS","Why we include 300mg"
2025-01-15,Wednesday,Symptom Solver,"That 'coat hanger' pain in your neck/shoulders? It's poor blood flow to your upper body. While others chase the pain, we address the cause: low blood volume + poor vascular tone. Sodium expands volume, taurine improves tone.","#CoatHangerPain #POTS #ChronicPain","Address the root cause"
2025-01-16,Thursday,Myth Buster,"'Just drink more water!' - every well-meaning friend. Reality: Plain water dilutes sodium levels, potentially making POTS worse. You need the RIGHT ratio of electrolytes + cofactors to actually hold that fluid where it counts.","#HydrationMyths #POTS #ChronicIllness","Share if you've heard this"
2025-01-17,Friday,Community Win,"@user just DMd: 'First time I've made it through grocery shopping without sitting on the floor!' This is why we do this. Real people, real autonomic support, real life changes. Your wins are our wins. 💪","#POTSwins #Community #Success","Share your win"
2025-01-18,Saturday,Weekend Hack,"Saturday shower strategy: Cooler water, hydrate 30min before, compression on legs, shower stool nearby. Our formula's taurine + magnesium combo specifically targets the vasodilation challenge. Make showers bearable again.","#ShowerHacks #POTS #WeekendTips","What's your shower hack?"
2025-01-19,Sunday,Science Summary,"This week's science recap: ✅ B5 makes acetylcholine for vagal tone ✅ Taurine helps kidneys retain sodium ✅ L-threonate crosses BBB for central control ✅ Citrate > chloride for kidney health. Knowledge is power.","#WeeklyRecap #Science #Education","Catch up on the science"
2025-01-20,Monday,Metabolism Monday,"L-Alanine: Your anti-crash insurance. It enters the Cori cycle, converting lactate back to glucose in your liver. Those sudden energy drops that trigger adrenaline surges? L-alanine says 'not today.' 750mg per serving.","#Metabolism #LAlanine #Energy","Steady energy awaits"
2025-01-21,Tuesday,B-Vitamin Spotlight,"B1 (Benfotiamine) isn't just for energy - it's for autonomic neuropathy prevention. Many POTS patients have subclinical B1 deficiency. We use the fat-soluble form for 5x better absorption. Your nerves will thank you.","#VitaminB1 #Neuropathy #POTS","Protect your nerves"
2025-01-22,Wednesday,Symptom Solution,"Pre-syncope (feeling faint) isn't dramatic - it's biochemical. Blood pools → brain hypoperfusion → warning signals. Our formula attacks all angles: volume expansion (sodium), vascular tone (taurine), and perfusion support (magnesium).","#Presyncope #Fainting #POTS","Stay upright"
2025-01-23,Thursday,Comparison Post,"Liquid IV relies on glucose for absorption. Problem? Glucose spikes insulin → crashes → triggers more adrenaline. We use L-alanine instead. Stable absorption, no crashes, no triggering the exact system we're trying to calm.","#LiquidIV #Comparison #StableEnergy","Choose stability"
2025-01-24,Friday,Feature Friday,"Real question from our community: 'Why monk fruit?' Because stevia can trigger histamine, artificial sweeteners affect gut bacteria, and sugar crashes your ANS. Monk fruit is the only sweetener that checks all boxes for MCAS-safe formulation.","#MonkFruit #MCAS #Sweeteners","Ask us anything"
2025-01-25,Saturday,Lifestyle Integration,"Your POTS toolkit: ✓ Compression garments ✓ Smart hydration (that's us) ✓ Pacing strategies ✓ Temperature management ✓ Trigger tracking. We're not a magic bullet - we're part of your comprehensive management plan.","#POTSmanagement #Lifestyle #Toolkit","What's in your toolkit?"
2025-01-26,Sunday,Thread Day,"Why POTS isn't 'just anxiety' - a thread 🧵 1/ Same symptoms, different mechanism 2/ POTS = autonomic dysfunction, measurable on tilt table 3/ Anxiety = psychological, though can trigger POTS 4/ Our formula addresses the autonomic piece...","#POTSvsAnxiety #Thread #Education","Full explanation 👇"
2025-01-27,Monday,Mineral Monday,"Potassium: The forgotten electrolyte. We use 360mg (2x most brands) because proper Na:K ratio determines cellular hydration. Too much sodium alone = cellular dehydration. Balance matters more than quantity.","#Potassium #Electrolytes #Balance","Get the ratio right"
2025-01-28,Tuesday,Cofactor Tuesday,"B6 (as P5P): The neurotransmitter builder. Required for serotonin (mood), dopamine (motivation), GABA (calm). When your autonomic system swings wildly, it's often because these chemicals are imbalanced. Feed the factory.","#VitaminB6 #Neurotransmitters #MoodSupport","Build better balance"
